frame,HEAD_x,HEAD_y,L_SHOULDER_x,L_SHOULDER_y,R_SHOULDER_x,R_SHOULDER_y,L_ELBOW_x,L_ELBOW_y,R_ELBOW_x,R_ELBOW_y,L_WRIST_x,L_WRIST_y,R_WRIST_x,R_WRIST_y,L_HIP_x,L_HIP_y,R_HIP_x,R_HIP_y,L_KNEE_x,L_KNEE_y,R_KNEE_x,R_KNEE_y,L_ANKLE_x,L_ANKLE_y,R_ANKLE_x,R_ANKLE_y,L_HEEL_x,L_HEEL_y,R_HEEL_x,R_HEEL_y,L_FOOT_INDEX_x,L_FOOT_INDEX_y,R_FOOT_INDEX_x,R_FOOT_INDEX_y,NECK_x,NECK_y
68,579,215,664,253,563,254,712,326,558,325,734,404,537,391,670,393,609,396,683,508,562,494,732,630,566,602,739,645,578,620,725,667,538,646,615,254
69,579,215,665,253,565,254,713,328,560,328,735,405,540,397,674,393,611,397,690,508,565,496,737,630,564,603,743,644,575,621,730,666,537,646,616,255
70,581,215,667,255,567,255,714,329,560,330,734,406,546,399,678,393,616,396,692,509,568,497,738,629,565,604,746,644,576,623,729,666,533,647,617,255
71,582,215,668,254,567,256,714,329,561,329,732,406,549,398,679,392,617,395,691,509,570,497,734,629,565,603,744,645,577,623,719,665,532,647,617,255
72,582,216,668,253,566,255,713,328,563,328,729,406,551,396,678,392,616,395,692,510,571,496,731,628,564,603,740,645,576,622,714,663,532,647,618,254
73,582,216,667,252,567,253,713,327,566,327,727,404,551,394,677,393,616,396,691,511,571,496,730,628,565,603,738,644,576,622,714,662,532,647,618,253
74,583,213,667,249,568,253,714,327,567,328,726,404,551,395,677,392,616,395,690,508,572,494,730,626,566,604,738,642,576,623,714,663,531,647,618,252
75,583,210,668,248,568,252,714,325,566,327,724,404,551,394,678,390,617,392,688,507,571,492,728,625,566,604,734,641,577,624,713,663,530,647,618,250
76,584,209,668,248,567,249,712,323,566,325,721,403,551,394,676,390,617,390,687,507,571,491,724,625,565,605,730,642,576,624,703,663,530,647,618,248
77,583,210,668,246,565,245,711,323,565,321,719,403,551,393,673,391,614,390,683,508,572,492,719,625,565,605,726,641,576,625,695,663,528,647,617,246
